0,0,0,0,0,0
0.030788,0.030788,0.030788,0.030788,0.030788,0.030788
0.083296,0.082777,0.0832,0.083447,0.084194,0.084389
0.15059,0.14876,0.15027,0.15106,0.15358,0.15421
0.22742,0.22336,0.22675,0.22828,0.23359,0.23484
0.30986,0.30262,0.30875,0.31104,0.31995,0.32188
0.39498,0.38362,0.39341,0.39624,0.40931,0.41184
0.4806,0.4643,0.47862,0.48154,0.49908,0.50198
0.5651,0.54317,0.5628,0.56518,0.5873,0.59025
0.64721,0.61922,0.64482,0.64588,0.67257,0.67516
0.72603,0.69177,0.7238,0.72269,0.75389,0.7557
0.80083,0.76041,0.79911,0.79498,0.83062,0.83126
0.87114,0.8249,0.87028,0.86234,0.90241,0.90152
0.93664,0.88516,0.93702,0.92458,0.96908,0.9664
0.99716,0.94122,0.99914,0.98168,1.0306,1.026
1.0527,0.99318,1.0566,1.0337,1.0872,1.0804
1.1034,1.0412,1.1094,1.081,1.1388,1.13
1.1493,1.0854,1.1577,1.1237,1.1859,1.175
1.1908,1.1262,1.2017,1.1622,1.2286,1.2158
1.2282,1.1636,1.2416,1.197,1.2672,1.2526
1.2618,1.1979,1.2776,1.2282,1.3021,1.2859
1.2919,1.2294,1.3101,1.2564,1.3334,1.3158
1.3189,1.2582,1.3392,1.2818,1.3615,1.3428
1.3431,1.2847,1.3653,1.3047,1.3866,1.367
1.3647,1.3089,1.3886,1.3255,1.409,1.3887
1.3841,1.3311,1.4094,1.3444,1.429,1.4082
1.4014,1.3514,1.428,1.3617,1.4468,1.4257
1.417,1.37,1.4444,1.3774,1.4625,1.4413
1.431,1.387,1.4591,1.3918,1.4765,1.4553
1.4436,1.4026,1.4721,1.405,1.4888,1.4678
1.455,1.4169,1.4836,1.4172,1.4996,1.479
1.4653,1.43,1.4938,1.4285,1.5092,1.489
1.4746,1.4421,1.5029,1.4389,1.5176,1.4979
1.483,1.453,1.5109,1.4486,1.5249,1.5059
1.4906,1.4631,1.5179,1.4576,1.5314,1.513
1.4976,1.4724,1.5242,1.4659,1.537,1.5193
1.5039,1.4808,1.5297,1.4736,1.5419,1.5249
1.5096,1.4886,1.5346,1.4808,1.5461,1.53
1.5149,1.4956,1.5389,1.4875,1.5498,1.5344
1.5197,1.5021,1.5427,1.4938,1.553,1.5384
1.524,1.5081,1.546,1.4996,1.5558,1.542
1.528,1.5135,1.549,1.505,1.5582,1.5452
1.5317,1.5185,1.5516,1.51,1.5603,1.548
1.535,1.5231,1.5539,1.5147,1.562,1.5505
1.5381,1.5273,1.5559,1.519,1.5636,1.5527
1.5409,1.5311,1.5577,1.5231,1.5648,1.5547
1.5435,1.5346,1.5592,1.5268,1.566,1.5565
1.5458,1.5378,1.5606,1.5303,1.5669,1.558
1.548,1.5407,1.5618,1.5335,1.5677,1.5594
1.5499,1.5434,1.5629,1.5365,1.5684,1.5607
1.5517,1.5458,1.5639,1.5393,1.5689,1.5618
1.5534,1.548,1.5647,1.5419,1.5694,1.5628
1.5549,1.5501,1.5654,1.5442,1.5698,1.5637
1.5563,1.5519,1.5661,1.5464,1.5701,1.5644
1.5576,1.5536,1.5666,1.5484,1.5704,1.5651
1.5587,1.5552,1.5671,1.5503,1.5706,1.5657
1.5598,1.5566,1.5676,1.552,1.5708,1.5663
1.5608,1.5579,1.568,1.5536,1.5709,1.5668
1.5617,1.559,1.5683,1.5551,1.571,1.5672
1.5625,1.5601,1.5686,1.5564,1.5711,1.5676
1.5632,1.5611,1.5689,1.5576,1.5712,1.568
