0,0,0,0,0,0,0
0.0021153,-6.7436e-005,-0.0094676,0.00099416,0.029899,-0.00019006,0
0.0057362,-0.00018348,-0.025405,0.0026407,0.083629,-0.00053085,0
0.010376,-0.00033318,-0.045578,0.0046915,0.15562,-0.00098502,0
0.015643,-0.00050478,-0.068344,0.006968,0.24097,-0.0015181,0
0.021227,-0.00068908,-0.092503,0.0093431,0.33543,-0.0020994,0
0.026882,-0.00087898,-0.11719,0.011728,0.43545,-0.0027025,0
0.032426,-0.0010691,-0.1418,0.014062,0.53805,-0.0033058,0
0.037728,-0.0012555,-0.16589,0.016308,0.64073,-0.0038926,0
0.042702,-0.0014353,-0.18917,0.018441,0.74148,-0.0044509,0
0.047306,-0.0016065,-0.21143,0.020451,0.83864,-0.0049731,0
0.051525,-0.001768,-0.23255,0.022334,0.9309,-0.0054549,0
0.055368,-0.001919,-0.25245,0.024093,1.0173,-0.0058951,0
0.05886,-0.0020593,-0.2711,0.025734,1.0971,-0.0062943,0
0.062032,-0.002189,-0.28848,0.027265,1.17,-0.0066545,0
0.064922,-0.0023082,-0.30463,0.028695,1.2357,-0.0069783,0
0.067564,-0.0024175,-0.31957,0.030033,1.2944,-0.0072687,0
0.069993,-0.0025173,-0.33337,0.031287,1.3461,-0.0075289,0
0.072238,-0.0026082,-0.34607,0.032464,1.3914,-0.0077618,0
0.074326,-0.0026909,-0.35774,0.033572,1.4305,-0.0079702,0
0.076278,-0.0027658,-0.36846,0.034617,1.464,-0.0081567,0
0.078112,-0.0028337,-0.37828,0.035604,1.4924,-0.0083235,0
0.079842,-0.0028951,-0.38728,0.036537,1.5161,-0.0084728,0
0.08148,-0.0029505,-0.39551,0.037421,1.5358,-0.0086063,0
0.083035,-0.0030005,-0.40305,0.038257,1.5518,-0.0087258,0
0.084513,-0.0030455,-0.40994,0.039049,1.5533,-0.0088325,0
0.085921,-0.0030861,-0.41624,0.0398,1.5533,-0.008928,0
0.087262,-0.0031226,-0.42201,0.04051,1.5533,-0.0090133,0
0.088539,-0.0031554,-0.42728,0.041183,1.5533,-0.0090894,0
0.089756,-0.0031849,-0.4321,0.04182,1.5533,-0.0091574,0
0.090914,-0.0032113,-0.4365,0.042421,1.5533,-0.009218,0
0.092015,-0.0032351,-0.44053,0.042989,1.5533,-0.0092721,0
0.093061,-0.0032564,-0.44422,0.043524,1.5533,-0.0093202,0
0.094053,-0.0032756,-0.44759,0.044029,1.5533,-0.0093631,0
0.094992,-0.0032927,-0.45067,0.044504,1.5533,-0.0094013,0
0.095881,-0.0033081,-0.45349,0.044951,1.5533,-0.0094352,0
0.09672,-0.0033219,-0.45606,0.04537,1.5533,-0.0094653,0
0.097512,-0.0033342,-0.45842,0.045763,1.5533,-0.0094921,0
0.098257,-0.0033453,-0.46057,0.046131,1.5533,-0.0095158,0
0.098958,-0.0033552,-0.46254,0.046476,1.5533,-0.0095369,0
0.099616,-0.0033641,-0.46434,0.046797,1.5533,-0.0095555,0
0.10023,-0.0033721,-0.46599,0.047098,1.5533,-0.0095721,0
0.10081,-0.0033792,-0.46749,0.047377,1.5533,-0.0095867,0
